الرقم,اسم المدرسة ,البريد الالكتروني ,رقم الهاتف,رقم المحمول,تصنيف المدرسة ,مرحلة المدرسة ,موقع المدرسة
1,أسماء بنت أبي بكر الأساسية للبنات,26111001@hebron.edu.ps,02-22228818,0562501752,إناث,عليا,الخليل
2,خديجة عابدين الثانوية للبنات,26111002@hebron.edu.ps,02-22228487,0562501729,إناث,عليا,الخليل
3,نسيبة المازنية الأساسية للبنات,26111003@hebron.edu.ps,02-22229426,0562501738,إناث,عليا,الخليل
4,إبراهيم حسونة الأساسية للبنات,26111004@hebron.edu.ps,02-22229869,0562501747,إناث,دنيا,الخليل
5,أحمد سدر الأساسية للبنات,26111005@hebron.edu.ps,02-22255333,0562501756,إناث,دنيا,الخليل
6,جواد الهشلمون الأساسية للبنين,26111006@hebron.edu.ps,02-22217535,0562501688,ذكور,عليا,الخليل
7,عبد الهادي السراحنه الأساسية للبنين,26111007@hebron.edu.ps,02-22217590,0562501700,ذكور,دنيا,الخليل
8,قلقس الأساسية للبنين,26111009@hebron.edu.ps,02-22270440,0562501719,ذكور,عليا,الخليل
9,الزهراء الأساسية للبنات,26111010@hebron.edu.ps,02-22233492,0562501770,إناث,عليا,الخليل
10,الهاجرية الأساسية للبنات,26111011@hebron.edu.ps,02-22233614,0562501795,إناث,عليا,الخليل
11,حليمة السعدية الأساسية للبنات,26111012@hebron.edu.ps,02-22217453,0562501750,إناث,عليا,الخليل
12,السيدة سارة الثانوية للبنات,26111013@hebron.edu.ps,02-22224662,0562501732,إناث,عليا,الخليل
13,الريان الثانوية للبنات,26111014@hebron.edu.ps,02-22215326,0562501754,إناث,عليا,الخليل
14,وداد ناصر الدين الثانوية للبنات,26111016@hebron.edu.ps,02-22228286,0562501724,إناث,عليا,الخليل
15,آمنة بنت وهب الأساسية للبنات,26111019@hebron.edu.ps,02-22229428,0562501743,إناث,عليا,الخليل
16,إبراهيم أبو الضبعات الثانوية للبنات,26111020@hebron.edu.ps,02-22259656,0562501728,إناث,عليا,الخليل
17,الصفا الأساسية للبنات,26111061@hebron.edu.ps,02-22228856,0562501746,إناث,دنيا,الخليل
18,الحسين بن علي الثانوية للبنين,26111066@hebron.edu.ps,02-22228226,0562501768,ذكور,عليا,الخليل
19,النهضة الأساسية للبنين,26111067@hebron.edu.ps,02-22234307,0562501712,ذكور,عليا,الخليل
20,الراشدين الثانوية للبنين,26111070@hebron.edu.ps,02-22220422,0562501681,ذكور,عليا,الخليل
21,ربيحة الدجاني الأساسية للبنين,26111071@hebron.edu.ps,02-22252961,0562501690,ذكور,دنيا,الخليل
22,الملك خالد الثانوية للبنين,26111072@hebron.edu.ps,02-22229421,0562501682,ذكور,عليا,الخليل
23,إبن خلدون الأساسية للبنين,26111073@hebron.edu.ps,02-22215966,0562501692,ذكور,عليا,الخليل
24,الإبراهيمية الأساسية للبنين,26111083@hebron.edu.ps,02-22235512,0562501713,ذكور,عليا,الخليل
25,حكمت المحتسب الثانوية للبنين,26111084@hebron.edu.ps,02-22223644,0562501684,ذكور,عليا,الخليل
26,الحاج زياد جابر الأساسية للبنين,26111086@hebron.edu.ps,02-22228076,0562501715,ذكور,عليا,الخليل
27,الخليل الأساسية للبنين,26111087@hebron.edu.ps,02-22233582,0562501787,ذكور,عليا,الخليل
28,بئر السبع الأساسية للبنين,26111089@hebron.edu.ps,02-22228088,0562501708,ذكور,عليا,الخليل
29,سيدنا إبراهيم الخليل الثانوية للبنين,26111090@hebron.edu.ps,02-22255470,0562501699,ذكور,عليا,الخليل
30,الجزائر الأساسية للبنين,26111091@hebron.edu.ps,02-22252160,0562501707,ذكور,عليا,الخليل
31,الصديق الأساسية للبنات,26111092@hebron.edu.ps,02-22228489,0562501695,إناث,دنيا,الخليل
32,عبد الحي شاهين الأساسية للبنين,26111093@hebron.edu.ps,02-22232850,0562501703,ذكور,عليا,الخليل
33,الفاروق الأساسية للبنين,26111094@hebron.edu.ps,02-22251641,0562501696,ذكور,دنيا,الخليل
34,الحاج محمد خالد الزعتري الأساسية للبنين,26111095@hebron.edu.ps,02-22233415,0562501710,ذكور,عليا,الخليل
35,محمد علي الجعبري الأساسية للبنين,26111096@hebron.edu.ps,02-22229420,0562501821,ذكور,عليا,الخليل
36,فهد القواسمة الأساسية للبنين,26111097@hebron.edu.ps,02-22290655,0562501691,ذكور,عليا,الخليل
37,إبن رشد الأساسية للبنين,26111098@hebron.edu.ps,02-22228488,0562501687,ذكور,عليا,الخليل
38,الدكتور إسحق خليل شاور الأساسية للبنين,26111099@hebron.edu.ps,02-22228534,0562501683,ذكور,عليا,الخليل
39,الخليل الثانوية الصناعية للبنين,26111100@hebron.edu.ps,02-22230344,0562501819,ذكور,عليا,الخليل
40,الإمام علي الأساسية للبنين,26111104@hebron.edu.ps,02-22228198,0562501697,ذكور,عليا,الخليل
41,المحمدية الأساسية للبنين,26111105@hebron.edu.ps,02-22225641,0562501706,ذكور,دنيا,الخليل
42,قرطبة الأساسية المختلطة,26111111@hebron.edu.ps,02-22297396,0562501762,مختلطة,عليا,الخليل
43,القدس الأساسية للبنات,26111119@hebron.edu.ps,02-22213272,0562501796,إناث,عليا,الخليل
44,إبراهيم ابو ديه الثانوية للبنين,26111120@hebron.edu.ps,02-22228454,0562501704,ذكور,عليا,الخليل
45,الأهرام الأساسية للبنات,26111121@hebron.edu.ps,02-22251412,0562501808,إناث,عليا,الخليل
46,الايوبية الأساسية للبنين,26111141@hebron.edu.ps,02-22258885,0562501709,ذكور,عليا,الخليل
47,طارق بن زياد الثانوية للبنين,26111145@hebron.edu.ps,02-22233211,0562501680,ذكور,عليا,الخليل
48,ياسر عمرو الثانوية للبنات,26111148@hebron.edu.ps,02-22235873,0562501735,إناث,عليا,الخليل
49,الحاج طالب سلهب الأساسية للبنات,26111149@hebron.edu.ps,02-22232614,0562501758,إناث,عليا,الخليل
50,غرناطة الأساسية للبنات,26111150@hebron.edu.ps,02-22231920,0562501739,إناث,عليا,الخليل
51,جوهر الأساسية للبنات,26111152@hebron.edu.ps,02-22212743,0562501774,إناث,دنيا,الخليل
52,علي غازي المحتسب الثانوية للبنات,26111157@hebron.edu.ps,02-22290181,0562501765,إناث,عليا,الخليل
53,الأخوة الثانوية للبنات,26111158@hebron.edu.ps,02-22220235,0562501727,إناث,عليا,الخليل
54,الفيحاء الأساسية للبنات,26111159@hebron.edu.ps,02-22232235,0562501769,إناث,عليا,الخليل
55,خولة بنت الازور الثانوية للبنات,26111160@hebron.edu.ps,02-22231127,0562501734,إناث,عليا,الخليل
56,الحاج إبراهيم بركات الأساسية للبنات,26111162@hebron.edu.ps,02-22228108,0562501748,إناث,عليا,الخليل
57,اليعقوبية الأساسية للبنات,26111163@hebron.edu.ps,02-22228185,0562501763,إناث,عليا,الخليل
58,شجرة الدر الأساسية للبنات,26111176@hebron.edu.ps,02-22252164,0562501766,إناث,عليا,الخليل
59,رابعة العدوية الأساسية للبنات,26111177@hebron.edu.ps,02-22232908,0562501767,إناث,دنيا,الخليل
60,حسان بن ثابت الثانوية للبنات,26111178@hebron.edu.ps,02-22237103,0562501740,إناث,عليا,الخليل
61,المعارف الأساسية للبنات,26111180@hebron.edu.ps,02-22220421,0562501773,إناث,عليا,الخليل
62,عائشة إم المؤمنين الأساسية للبنات,26111181@hebron.edu.ps,02-22230455,0562501757,إناث,عليا,الخليل
63,الشافعي الأساسية للبنين,26111189@hebron.edu.ps,02-22254546,0562501702,ذكور,عليا,الخليل
64,خديجة بنت خويلد الأساسية للبنين,26111211@hebron.edu.ps,02-22232982,0562501822,ذكور,دنيا,الخليل
65,أم عمار بن ياسر الأساسية للبنات,26111213@hebron.edu.ps,02-22228835,0562501751,إناث,عليا,الخليل
66,الحاج إسحق القواسمي الأساسية للبنات,26111214@hebron.edu.ps,02-22229427,0562501726,إناث,عليا,الخليل
67,تيسير مرقة الأساسية للبنات,26111215@hebron.edu.ps,02-22210272,0562501694,إناث,عليا,الخليل
68,ذو النورين الأساسية للبنات,26111216@hebron.edu.ps,02-22233292,0562501771,إناث,دنيا,الخليل
69,شهداء الحرم الابراهيمي الأساسية للبنين,26111231@hebron.edu.ps,02-22298308,0562501717,ذكور,عليا,الخليل
70,شهداء الأقصى الأساسية للبنين,26111240@hebron.edu.ps,02-22225387,0562501698,إناث,دنيا,الخليل
71,هدى عبد النبي الأساسية للبنين,26111241@hebron.edu.ps,02-22231584,0562501701,ذكور,عليا,الخليل
72,تيسير مسودي الأساسية للبنات,26111246@hebron.edu.ps,02-22290218,0562501749,ذكور,عليا,الخليل
73,محمد علي المحتسب الثانوية للبنات,26111247@hebron.edu.ps,02-22291232,0562501725,إناث,عليا,الخليل
74,السيدة هاجر الأساسية للبنات,26111248@hebron.edu.ps,02-22224750,0562501753,إناث,عليا,الخليل
75,صدقية أبو الضبعات الأساسية للبنات,26111251@hebron.edu.ps,02-22290262,0562501745,إناث,عليا,الخليل
76,الخوارزمي الثانوية للبنات,26111258@hebron.edu.ps,02-22230535,0562501775,إناث,عليا,الخليل
77,حربي أبو الضبعات الأساسية للبنين,26111263@hebron.edu.ps,02-22291596,0562501693,ذكور,عليا,الخليل
78,ياسين طه الأساسية للبنات,26111264@hebron.edu.ps,02-22231676,0562501760,إناث,دنيا,الخليل
79,النصر الأساسية للبنين,26111265@hebron.edu.ps,02-22253024,0562501772,ذكور,دنيا,الخليل
80,عبد القادر القواسمة الأساسية المختلطة,26111273@hebron.edu.ps,02-22292629,0562501744,مختلطة,عليا,الخليل
81,عمر بن الخطاب الأساسية للبنات,26111274@hebron.edu.ps,02-22234861,0562501761,إناث,عليا,الخليل
82,السيد الأساسية للبنين,26111279@hebron.edu.ps,02-22227362,0562501689,ذكور,عليا,الخليل
83,سعاد النتشة الأساسية للبنات,26111283@hebron.edu.ps,02-22291597,0562501755,إناث,عليا,الخليل
84,الشهيد عبد العزيز ابو اسنينة الثانوية للبنات,26111284@hebron.edu.ps,02-22231390,0562501737,إناث,عليا,الخليل
85,مصباح أبو حنك الثانوية للبنين,26111301@hebron.edu.ps,02-22299898,0562501705,ذكور,عليا,الخليل
86,وصايا الرسول الأساسية للبنين,26111302@hebron.edu.ps,02-22235545,0562501711,ذكور,عليا,الخليل
87,أسامه بن المنقذ الأساسية للبنين,26111303@hebron.edu.ps,02-22224560,0562501716,ذكور,دنيا,الخليل
